species	Order	sp	sample_no	Depth	Delta15N	Delta13C	ratio.C.N	Z.dens	C.dens	chla	chlb	chlc	chlca	Host.prot.cont	Tot.Lip.cont	In.cont	Sk.dens
Tubipora_sp	Malacalcyonacea	Tu	TU013	29.7	2.61	-20.89219692	8.376650517	7040000	17520000	13.572	0.832	4.764	0.351016799	323642.7564	1.52	0.16	0.464106687
Antipathella_sp	Anthipatharia	Ap	AP001	26	8.164	-20.27348439	5.33865954	0	897142857.1	0	0	0	0	614143.9544	0.857142857	0	0.184615385
Antipathella_sp	Anthipatharia	Ap	AP002	26	5.145	-20.24988641	5.333533146	0	733793103.4	0	0.624137931	0.191954023	0	478804.2646	0.264367816	0	0.33
Antipathella_sp	Anthipatharia	Ap	AP003	26	8.096	-20.12795471	5.023972158	0	677368421.1	0	0	0	0	604726.1701	0.157894737	0	0.195
Antipathella_sp	Anthipatharia	Ap	AP004	18.7	8.39	-20.08080941	5.063512264	0	766764705.9	0	0	0	0	648830.26	0.279411765	0	0.177777778
Antipathella_sp	Anthipatharia	Ap	AP005	19.6	8.517	-20.53552202	5.214121589	0	1047341772	0	0	0	0	556135.6682	2.164556962	0	0.121621622
Antipathella_sp	Anthipatharia	Ap	AP006	20.2	8.248	-20.50423713	5.535296842	0	539240506.3	0	2.325316456	2.141772152	0	573483.2281	0.265822785	0	0.268292683
Antipathella_sp	Anthipatharia	Ap	AP007	19.7	8.544	-20.42710004	5.335175037	0	566052631.6	0	0	0	0	445908.0327	0.355263158	0	0.231578947
Antipathella_sp	Anthipatharia	Ap	AP008	20	8.449	-19.8990316	5.046900584	0	623389830.5	0	0	0	0	610983.2358	0.508474576	0	0.148717949
Antipathella_sp	Anthipatharia	Ap	AP009	19.9	8.588	-20.54173956	5.161872078	0	660530973.5	0	0	0	0	406718.4861	0.123893805	0	0.201587302
Antipathella_sp	Anthipatharia	Ap	AP010	19	8.451	-20.30587952	5.44462283	0	416296296.3	0	0	0	0	567397.3942	0.209876543	0	0.122857143
Distichopora_sp	Anthoathecata	Di	DI001	14.8	4.939	-21.15251223	5.109378442	0	96714285.71	12.69642857	0	0	0	132261.5735	1.607142857	0	1.671469304
Distichopora_sp	Anthoathecata	Di	DI003	7.6	5.553	-21.49144483	5.561484359	0	119733333.3	4.49	0	0	0	93976.09723	2.3	0	1.486435671
Distichopora_sp	Anthoathecata	Di	DI005	10	5.155	-21.31002799	5.078143086	0	94470588.24	3.508823529	0	0	0	57180.93638	2.588235294	0	1.744107139
Distichopora_sp	Anthoathecata	Di	DI006	6	5.438	-20.47400586	4.959555106	0	46424242.42	100.2575758	3.115151515	12.05151515	0.120205531	39098.86685	2.787878788	0	1.899627081
Distichopora_sp	Anthoathecata	Di	DI007	5.4	5.349	-20.62467773	5.223512559	0	81400000	0	0	0	0	82320.95492	4.35	0	1.715443628
Distichopora_sp	Anthoathecata	Di	DI008	4.1	5.309	-20.43949852	5.289094164	0	154222222.2	0	0	0	0	138586.3677	6.888888889	0	1.885974874
Distichopora_sp	Anthoathecata	Di	DI009	4.7	5.402	-20.27611458	4.717838926	0	17677419.35	30.71451613	7.567741935	0	0	17988.90926	0.879032258	0	1.943443103
Distichopora_sp	Anthoathecata	Di	DI010	2.2	4.484	-16.81920398	7.636748066	0	96837209.3	0.376744186	0	0	0	57743.45207	2.534883721	0	2.047013959
Millepora_platyphylla	Anthoathecata	Mp	MP001	6.2	3.456	-14.78148144	17.09854586	150641509.4	28075471.7	1742.332075	812.3509434	268.6641509	0.154198017	278186.6765	1.641509434	0	1.356095104
Millepora_platyphylla	Anthoathecata	Mp	MP002	6.5	3.107	-14.37930113	12.11895896	234666666.7	20777777.78	1239.088889	429.1875	162.9222222	0.1314855	150470.4814	1.180555556	0	1.826725472
Millepora_platyphylla	Anthoathecata	Mp	MP004	5.7	2.903	-14.64871336	12.90294835	224533333.3	32933333.33	1113.77	335.685	162.48	0.145882902	207689.7189	1.05	0	1.640635465
Millepora_platyphylla	Anthoathecata	Mp	MP005	6	2.587	-14.78563689	13.81554205	130630137	27835616.44	765.1191781	320.339726	216.0863014	0.282421755	269541.9136	0.849315068	0	1.873742783
Millepora_platyphylla	Anthoathecata	Mp	MP006	10.8	3.739	-14.28198866	12.8847766	135304347.8	20521739.13	1896.726087	840.823913	228.1913043	0.120307991	78949.60192	2	0	1.856801896
Millepora_platyphylla	Anthoathecata	Mp	MP007	11	3.884	-13.69093622	13.39548626	156235294.1	17568627.45	1231.970588	561.0627451	175.8490196	0.142738001	120349.8957	1.980392157	0	1.844284571
Millepora_platyphylla	Anthoathecata	Mp	MP008	10.8	3.379	-14.86702168	12.77438396	93333333.33	20333333.33	2210.260417	1220.029167	291.8145833	0.13202724	100938.241	2.458333333	0	2.014841085
Millepora_platyphylla	Anthoathecata	Mp	MP009	12.4	3.587	-15.24058003	13.36846123	184800000	22400000	1890.1025	1011.54	226.1175	0.119632401	78305.39633	1.9	0	1.64169793
